,text,place,uri,collector,area,lat,lon,english
109728,"Η αυγή θε να το δείξη, ποιανού μάννα θε να λείψη",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/158204,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The dawn will show who will lose their mother.
109611,Έβαλε το εβλογητός,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189820,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He said the fatal word.
110650,"Τ' είν' ο κάβουρας, τι το ζουμί τ'",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189884,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"What is the crab, and what is the soup?"
109706,Ελεύθερος προξενητής για λόγου του γυρεύει,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245904,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,A free intermediary is always looking for an opportunity.
110630,Στου κασίδη το κεφάλι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230484,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,On a mule's head
110161,"Νερό και ξύλο, σ΄έρημο τόπο",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189815,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Water and wood, in a desert place"
109919,Καλόμαθ' η γριά στα σύκα κι όλη μέρα τα γυρεύει,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189703,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,An old dog can't learn new tricks.
110138,"Να μιλήσεις μ' άνθρωπο, νάχ' αμπέλια και χωράφια",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189393,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"To speak with a man, you must first talk about his vineyards and fields."
110822,Τον έγινε κολλητσίδα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210315,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He got a whipping
109997,Κυριακής λάμψιμο βδομάδας κλάψιμο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230608,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Sunday's shining, week's crying"
109264,Άλλος αρέσει τον παππά κι' άλλος την παππαδιά,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189371,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"One man likes the priest, another his wife."
110638,"Στρώμα πάντα σου ξερό, και λίγο φαγί το δείπνο, κι' άμα ακούς τον πετεινό στο φαγί σου και στον ξύπνο",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245746,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Always have a dry bed, a little food for dinner and when you hear the rooster, eat and sleep."
110905,"Φυτρώνει, εκεί που δεν τον σπέρνουνε",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245955,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,It grows where it is not sown.
109447,Ας πάγη και το παλιάμπελο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245775,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Let bygones be bygones
110403,Πάρτε βούρτσες και λιναρια κ' έφθασ' η Μεγάλη Πέφτη,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245842,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Take brooms and linens for Great Lent has arrived.
110228,Ο κινάς κ' η τρεμιντίνα κάνουν την γριά καντίνα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189704,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The Chinese and the tremble make the old woman dance.
110366,"Όταν ο Μωάμεθ δεν πάγει στο βουνό, πάγει το βουνο στον Μωάμεθ","Ανατολική Θράκη, Σηλυβρία",http://hdl.handle.net/20.500.11853/212914,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"When Mohammed can't go to the mountain, the mountain goes to Mohammed"
109724,"Η αλεπού όταν γεράση, καλογριά γίνεται",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189679,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,When the fox grows old it becomes a nun
110269,"Ό,τι τραβάει το κορμί, το φταίει το κεφάλι",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210269,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Whatever the body endures, the head is to blame."
109356,"Αν δεν πη ο Θεός, φύλλο δεν πέφτει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189862,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"If God doesn't want it, not a leaf falls."
109438,Αράπικο πείσμα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189451,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Arab stubbornness
109579,"Δεν πουλεί, μον αγοράζει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189304,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"He doesn't sell, he only buys."
109499,Γαιδουρινό πείσμα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189565,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Donkey stubbornness
109752,"Η μάννα χρυσό πάπλωμα και τα σκεπάζει όλα, κ' η πεθερά ξέσκεπο καλάθι",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210346,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"The mother is a golden quilt and covers everything, and the mother-in-law is an open basket"
109755,"Η μύτη του να πέση, δε θα σκύψη να την πάρη",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230798,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He wouldn’t bend to pick up his own nose if it fell off
110352,"Όσα παιδιά, τόσα καρφιά",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245770,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"The more children, the more nails."
110655,Τα εφτά σκοτίδια,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245949,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The seven darknesses
110363,"Όταν έχω και ξοδιάζω, τα κορίτσια μ΄ αγαπούν κι΄ όταν δεν έχω ο καημένος δε γυρίζουν να με δουν",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189836,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"When I have and I spend, the girls love me, and when I don’t have, the poor me they don’t even turn to look at me."
110703,"Της γειτόν'σσας η όρνιθα, κούρκα φαίνεται",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/179618,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The neighbor's chicken looks like a crane.
110157,"Νέ παν' απ' τ' αμάξι, νέ κάτ' απ' τ' αμάξι",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189382,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Some get off the carriage and some get on the carriage.
110361,"Όταν δε δουλεύη το μυαλό, δουλεύουν τα χέρια",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230785,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"When the mind doesn't work, the hands do."
110194,"Ο γέρος όπου πέθανε, στην ποταμιά θερίζει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245811,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Where the old man died, he is reaping in the river."
109900,Και τα ρούχα του γελούν,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189598,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Even his clothes are laughing
109637,"Ένα καιρό κι΄ένα ζαμάνι πάντρευαν τον Καραμάνη, μεσ΄στο τρύπιο το καζάνι",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230417,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Once upon a time and in a land far away, they married Karmanis in the holed pot."
110556,Σαν τον σκύλο με τη γάτα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245939,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Like dog and cat
109838,Θεό και άγιο τον έκαμα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189758,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I made him out to be a god or a saint
110743,Το βιό παντρεύει κούτσουρα κι' αφίνει μαυρομάτες,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189514,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Life marries cripples and leaves behind the lame
110271,Όλ' η βδομάδα του γαμπρού κ' η Κυριακή της νύφης,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189580,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,All week belongs to the groom and Sunday to the bride
109255,Άλλαξε η νύφη κι' έμεινε,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/288204,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The bride changed but she remained.
109677,Έχω την κούτρα καθαρή,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189886,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I have a clear conscience.
110384,Οι την κάμηλον καταπίνοντες και τον κώνωπα διυλίζοντες,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/212062,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Those who swallow a camel and strain at a gnat.
110139,"Να ξέρ'ς ο δικός μου νους, που σκαλίζ' και που κοσκινίζ';",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230828,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Know my mind, where it digs and where it sifts."
109922,"Καλώς τινα, καλώς τινα. Πάρε ένα ξύλο και δώσ' τηνα",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/212071,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Treat him well, treat him well. Take a stick and give it to him."
109607,"Δωρεάν λάβατε, δωρεάν δότε",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/179621,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Freely you received, freely give"
109573,Δεν ξέρει να μοιράσ' σε δυο γαϊδάρους μια κόφα άχερο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230756,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He cannot divide one piece of bread between two donkeys.
109366,"Ανάποδος χρόνος, δέκα τρείς μήνες",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189407,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Time is short, only ten or three months"
110688,"Τη νύφη μας καθοδηγούσαμε, πέντε μύγες έπιανε",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189889,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"We were guiding the bride, and five flies were caught"
110456,Πιάσε τον κασιδιάρη απ' τα μαλλιά,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230485,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Catch the barber by his hair
109257,Άλλαξε η χήνα κ' έβαλε πάλε εκείνα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189374,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The goose changed but brought back the same old things.
109564,Δεν έχει πρόσωπο να πάγη,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/252197,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He has no face to show.
110517,"Σ΄ έρημα βουνά, νερά πολλά",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189817,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"In barren mountains, many waters."
110586,"Σκυλί που γαβγίζ', δε δαγκάν'",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245946,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,A barking dog never bites
110142,"Να ρωτήσωμε την αλεπου, πόσ' αβγά να βάλμε στη κλώσσα",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245908,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Ask the fox how many eggs to put in the nest.
110428,Πέθανε (ή τον σκότωσαν) σαν το σκυλλί στ' αμπέλι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245937,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Died (or was killed) like a dog in the vineyard
110355,"Όσο πίν' η Μαργιωρίτσα, τόσο διπλοχαιρετάει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210393,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"The more Margarita drinks, the more she cheers."
109294,Άρον – Άρον,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/158197,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Take it away - Take it away
110559,"Σαράντα καλόγεροι, ο καθένας με τον πόνο τ'",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245862,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Too many cooks spoil the broth.
109874,"Κάνε κόρη το παιδί, αν είσαι κόρη θα φανής",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230546,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Spoil the child and it will show itself.
109328,Ακόμη δε βγήκ' απ' τ' αβγό,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189288,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Still wet behind the ears
110846,Τον κόστισ' η προβειά στα δώδεκα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230578,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,A sheep is lost in the flock.
109938,"Κει που δε σε σπέρνουνε, να μη φυτρώνης",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245954,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Don't sprout where you weren't sown
109614,"Έβαλε τον τρελλό, να βγάλη το φίδι από την τρύπα",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230946,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He sent a madman to take the snake out of the hole.
109812,Θα με κόψης το νερό από τα πράσσα;,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230819,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Will water cut me from the leeks?
109312,Άφκε γάμο και πήγε για προυνάρι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189569,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He left the wedding and went for a stroll.
110600,Στάχτη κι άλας να βουτάς και γνώμη να ρωτάς,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189686,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,You can get advice even from ashes and salt.
109361,"Αν είσαι και παπάς, με την αράδα σου θα πας.",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245799,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"If you are a priest, you will go with your plow."
110839,Τον έχει στου διαβόλου το κατάστιχο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/179614,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He is written down in the devil's book.
109343,"Αν αρτυθώ, να φάγω πέρδικα",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189462,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"If I'm going to sin, I'll eat a partridge."
109653,Έσπασα το μυαλό μ',Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230780,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I've broken my head.
110588,Σον προσταγή κι ο λόγος σου φιρμάνι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210332,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Your word is law and your command is a royal decree
109879,Κάνει λογαριασμό χωρίς τον ξενοδόχο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210320,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Counts without his host
109956,Κόπκαν τα ήπατα μ',Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189855,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I'm fed up to the teeth
109893,Καθένας με τον πόνο τ' κι ο μυλωνας με τ' αυλάκι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245865,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Everyone with his pain, and the miller with his canal."
109512,Για της αγάπης τον καημό πίν' η γλάστρα το νερό,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189275,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The pot drinks the water of love's sorrow.
109383,Απ' τη μύγα θέλει να πάρ' άλειμμα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230797,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He wants to take ointment from a fly
109918,Καλό τυρί σε σκυλίσιο τομάρι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245936,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Good cheese in a dog's stomach.
109890,Καβουρντίσθηκε,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189885,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He is ruined
110527,Σα μαδημένη κότα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230668,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Like a mad hen
110314,Όποιος έχει τα γένεια έχει και τα κτένια,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189666,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He who has the mustache has the whiskers too.
110855,Τον πήρε στο λαιμό τ',Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230611,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He got it in the neck
110074,Με τους δώδεκα,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/179602,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,In a big hurry
109623,"Έκαμαν την κατσιβέλα βασίλισσα, και κείνη γύρευε ένα κομμάτι ψωμί",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210255,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"They made a queen of a low-class woman, and she was looking for a piece of bread."
110288,"Όποια πέτρα σηκώσεις, από κάτω θα τον εύρης",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245831,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Lift any stone and you will find him underneath
110346,"Όπου του μέλλει να πνιγή, ποτέ του δεν πεθαίνει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230737,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Where he is destined to drown, he will never die."
110296,"Όποιος αφίνει τη στεριά, τη θάλασσα γυρεύει, ο διάβολος στη ράχη του, κουκιά τον μαγερεύει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189858,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Whoever leaves the mainland, seeks the sea, the devil on his back, the beans are stewing for him"
110727,Τί βρέχ' ο ουρανός και δεντο πίν' η γη;,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189604,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"What the sky pours, the earth drinks"
109947,Κι ο στραβός το βλέπει,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189535,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Even a blind man can see it
110596,"Στα όρη, στα βουνά και στ΄ άκαρπα τα δέντρα",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189538,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"In the mountains, on the hills and on the barren trees."
109526,Γύρ'σαν τα θεμέλια,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/179603,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The foundations have turned.
110863,Τον τρώγει το σκουλήκι,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245942,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Worms are eating him
110821,Τον έβαλε το μαχαίρι στο κόκκαλο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210303,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He put the knife to the bone
109819,"Θα σε γελάσω, να πάρω τη σκούφια σ'",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189597,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"I will laugh at you, to take your hat off to you"
110761,"Το κάστρο, από μέσα παίρνεται",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230404,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,The castle is taken from the inside.
109586,"Διές με Μ' ένα μάτι, να σε διώ με δυό",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230720,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"If you look at me with one eye, I will look at you with two."
109847,Κ' οι τοίχοι φτιά έχνε,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189486,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,Even the walls have ears
110251,Ο παγωμένος τι θα κάνη τον κρυωμένο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230602,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,What can the frozen one do for the chilled one?
110893,"Τώρα θέλω, άντρα θέλω",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189649,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I want a man now.
109658,Έφαγε κουκκιά,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230568,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He ate a bean
109393,Απίδια τρώγω;,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189429,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I am eating figs
109481,"Βόθσε τον εαύτο σου, να σε βοηθήσ' ο Θεός",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189520,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"Help yourself, and God will help you."
110035,Μακρυά Σαρακοστή,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245920,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,A long Lent
110859,Τον τραβά απ' την μύτη,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230800,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He leads him by the nose.
109670,Έχει τ' αλεύρι απλωμένο,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189431,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He has his flour spread out
109505,Γεννήθηκε με σκέπη,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189669,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He was born with a silver spoon in his mouth
109648,Έρριξε πέτρα πίσω του,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/245836,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,He cast a stone behind him
109265,"Άλλος έχει τ' όνομα, κι άλλος έχει τη χάρη",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/210366,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,One has the name and another the virtues.
110496,"Πουλιά με το στόμα να πιάν΄ η γυναίκα, πάλι δεν προφθαίνει",Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/189715,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,"A woman can't catch birds with her mouth, even if she is quick."
109533,Γω είπα τον σκύλο μου κι' ο σκύλος την ουρά του,Ανατολική Θράκη,http://hdl.handle.net/20.500.11853/230628,"Σταμούλη – Σαραντή, Ελπινίκη",Ανατολική Θράκη,41.6759327,26.5587225,I told my dog and my dog told his tail
