,text,place,uri,collector,area,lat,lon,llama-8b
31453,"Και ο Γιάννης μούρλιακας, κ' η Γιάννενα μουρλιάκο",Επτάνησος,http://hdl.handle.net/20.500.11853/284510,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"And John the mule, and the Ioannina mule<|e"
33588,"Ο παππάς μας μοναχά ήξερε κ΄έκανε τρεις δουλαίς αντάμα – εκατουρα εσήμαινε, κ΄έπαζαριαψε κ΄ένα γαϊδουροφόρι ξύλα",Επτάνησος,http://hdl.handle.net/20.500.11853/255265,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The priest was the only one who knew and would do three things at once –
35997,Του Θεού θελήματα σκύψε και προσκύνατα,Επτάνησος,http://hdl.handle.net/20.500.11853/173802,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Bend and stretch to God's will. (Greek Proverb) <|
31885,λες πως άλλοι δεν είναι!,Επτάνησος,http://hdl.handle.net/20.500.11853/145975,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Others are not like this! or Others are not like you! or Others are
32644,Νειάζει σαν τη γάτα!,Επτάνησος,http://hdl.handle.net/20.500.11853/174752,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Falls like a cat! (idiomatic) (it means to fall gently
32763,"Ντράποι πές του γαιδουριού, να ξανακοκκινήση!",Επτάνησος,http://hdl.handle.net/20.500.11853/146216,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"If you coax a hedgehog, it will prick you again. (It means"
33592,"Ο παππάς σε θυμιατιζη, μ' αν ο άνεμος τον πάει άλλουθε τον καπνό (τι λιβαινό)",Επτάνησος,http://hdl.handle.net/20.500.11853/255275,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"The priest in a thymiatizie, as if the wind takes him"
29160,"Α δεν αποφάσιζαν οι γιατροί να φύγουν, δεν εγέρενε",Επτάνησος,http://hdl.handle.net/20.500.11853/175019,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"They did not decide to leave, so they did not get up. (They"
29114,"Α δε γιομίση το σακκί (το ξεσκί), πως θαν το πης γιομάτο!",Επτάνησος,http://hdl.handle.net/20.500.11853/255087,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Don't despise the day of small things. For who knows, it may"
43583,Κάλλιο το σκεπασμένο τζουκάλι παρά το ξέσκεπο,Επτάνησος,http://hdl.handle.net/20.500.11853/288723,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,It's better to have a covered jug than an uncovered one. or A covered
44017,"Όταν θέλουν τα θεμέλια, προσκυνούν τα κεραμίδια",Επτάνησος,http://hdl.handle.net/20.500.11853/163605,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"When they want to lay the foundations, they venerate the roof tiles. ("
29617,Άλλο δεν τη σκάει την άτιμη τη γυναίκα πάρ' ή σήντας βλέπη πως ο άνδρας της δεν τηνε νοιώθη,Επτάνησος,http://hdl.handle.net/20.500.11853/207236,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Another proverb is not enough for an unworthy woman, see how her husband doesn"
29598,Άλλαις χαραίς δεν του μειναν όξ' απ' τση ξέναις πίκραις,Επτάνησος,http://hdl.handle.net/20.500.11853/207416,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Other gifts cannot take away the sting of foreign sorrows. (Greek) or
33727,"Όποιος βοηθήση άρχοντα κ' ναν' το ξεστομίσω, ν' ασηκωθή ν' αρατιστή να παη αλλού να ζήση",Επτάνησος,http://hdl.handle.net/20.500.11853/146525,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"He who helps the ruler will be rewarded, but he who helps a beggar"
29166,"Α δεν έμπ' η δεύτερ' η νύφη, δεν αποζητιέται η πρώτη",Επτάνησος,http://hdl.handle.net/20.500.11853/288025,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The first bride is not paid if the second one does not enter.  (
32341,Να μην ιδώ τη σημερνή αύριο!,Επτάνησος,http://hdl.handle.net/20.500.11853/255115,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Don't look to tomorrow at today!<|eot_id|>
31992,"Λόγια μασισμένα, λόγια μπερδεμένα!",Επτάνησος,http://hdl.handle.net/20.500.11853/207571,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Words mangled, words mixed up! <|eot_id|>"
32740,"Νογάει, ακούς, καλλήτες από βόϊδι",Επτάνησος,http://hdl.handle.net/20.500.11853/146208,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"It hurts, you hear, beautiful calves from an ox<|eot_id"
32746,Νοικοκύρης χωρίς σπήτι,Επτάνησος,http://hdl.handle.net/20.500.11853/286651,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Housekeeper without a hearth. (A housekeeper without a hearth,"
43249,Αργυρό το μίλημα χρυσό το σώπα,Επτάνησος,http://hdl.handle.net/20.500.11853/254431,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"Silver speech, gold silence. <|eot_id|>"
35565,Τα περσινα εδιαβήκανε,Επτάνησος,http://hdl.handle.net/20.500.11853/254858,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The past was talked about. (Proverb) (Translation)  <|
33609,"Ο πεινασμένος, ότι εύρη τρώει",Επτάνησος,http://hdl.handle.net/20.500.11853/255281,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The hungry man eats what he finds<|eot_id|>
30004,Αγαπημένο ανδρόγυνο ζευγάρι ευλογημένο,Επτάνησος,http://hdl.handle.net/20.500.11853/145127,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A loving married couple is blessed. (Greek proverb) <|eot_id
32042,Λυγά 'δα ο σιδερόπαλος,Επτάνησος,http://hdl.handle.net/20.500.11853/277621,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A spoon is not made of iron.  (It is not wise to be
29883,"Άσχημ' είναι, στρίγλα είναι",Επτάνησος,http://hdl.handle.net/20.500.11853/146614,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"It's a bad omen, a bird of ill omen. (A"
29923,Άφσ' τσου πλούσους να σωδιάζουν για τη φτώχεια απανωτιάζουν,Επτάνησος,http://hdl.handle.net/20.500.11853/254779,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The rich are so afraid of poverty that they forget how to be poor. (
33358,Ο καθένας από κείνο πύχει δίνει,Επτάνησος,http://hdl.handle.net/20.500.11853/174978,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Each one gives from his own pocket. (Proverb) | Each one gives
33273,"Ο Θεός για σε, ο Θεός για με, ο Θεός για ούλον τον κόσμον",Επτάνησος,http://hdl.handle.net/20.500.11853/174900,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"God for you, God for me, God for the whole world. (Greek"
34802,Πούσας παππά θύμηε!,Επτάνησος,http://hdl.handle.net/20.500.11853/175335,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Where is the partridge that remembers?!<|eot_id|>
32133,"Να 'σαι καλ' απ' τη μια μεριά, κι' από την άλλη να πατούν η μύγαις να βουλιάζουνε",Επτάνησος,http://hdl.handle.net/20.500.11853/284576,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Be well off on one hand, and have the flies drown in the other<"
43190,Αν λείψη το εμπόριον κάμνω και τον χαμάλη,Επτάνησος,http://hdl.handle.net/20.500.11853/276636,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"If the shop is missing, I make and the camel. (meaning: If"
31053,Η ξένη η ψείρα μ' εξεψείριασε,Επτάνησος,http://hdl.handle.net/20.500.11853/207110,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The foreign spider spun me a web. (A foreigner will do the trick
34937,"Πρώτο θεμέλειο του σπητιού, η καλή η νοικοκυρά",Επτάνησος,http://hdl.handle.net/20.500.11853/286715,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"The first cornerstone of the cave, the good housewife. 

The good house"
35286,Τα δάκρυα μαλακώνουν την καρδιά του ανθρώπου,Επτάνησος,http://hdl.handle.net/20.500.11853/173893,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Tears soften the human heart.
29697,Άλλω τάχαν' από τα ροδάκινα εκειός δεν ξέρει,Επτάνησος,http://hdl.handle.net/20.500.11853/289680,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,He doesn't know anything else apart from the quinces.  (meaning someone
34385,Ουκ οίδατε τι τέξεται η επιούσα,Επτάνησος,http://hdl.handle.net/20.500.11853/175220,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,You do not know what the next day will bring. (English translation of the
43145,"Αγαπώ, κυρά, να κλάνης μα να μην το παρακάνης",Επτάνησος,http://hdl.handle.net/20.500.11853/254444,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"I love, grandma, to lean, but not to fall. (Translation of"
31951,"Λίγο καθ΄ ενού λιγώτερο, να πάρουν ούλα",Επτάνησος,http://hdl.handle.net/20.500.11853/289725,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"A little less from both, so they can have some<|eot_id"
30054,"Αγκόπαιτονε πρώτα, κι' απέ πνίξ' τονε",Επτάνησος,http://hdl.handle.net/20.500.11853/255048,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"First sow, and then reap.  or  First sow, and then reap"
34239,"Οξ΄ από ξυλιαίς, και από τσαγκό καρύδι",Επτάνησος,http://hdl.handle.net/20.500.11853/289833,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"A nut from a walnut tree, and a fig from a thorny bush."
29936,"Α΄ δεν είχε, ετσώπαινε",Επτάνησος,http://hdl.handle.net/20.500.11853/175023,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"He who has not, complains. (Greek Proverb) <|eot"
34018,Όπως λέει ο αφέντης έτσ' είναι,Επτάνησος,http://hdl.handle.net/20.500.11853/146600,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"As the teacher says, so it is.  (meaning: the teacher's"
43625,Καλό κακό λινάρι τον Μάρτη θε ν' ανθίση,Επτάνησος,http://hdl.handle.net/20.500.11853/201706,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,Good bad flax in March may sprout. (English translation) or It
43122,Άλλο λέγω του καλού μου κι' άλλος αυτός μου διηγάται,Επτάνησος,http://hdl.handle.net/20.500.11853/148275,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"One says to me good things, and the other tells me bad things."
35272,"Τα γινήκαν, δεν τα πιάνει ο νόμος",Επτάνησος,http://hdl.handle.net/20.500.11853/173882,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Those who do evil, the law does not catch up with them. (Translation"
35169,"Τ' είν' με δίχως φως τα μάτια. Τ' είν' το φως, με δίχως μάτια",Επτάνησος,http://hdl.handle.net/20.500.11853/280195,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,There's nothing without light in the eyes. There's light without eyes.
32054,Μαχέρι δίχως χέρι πράμμ' αχρείκοτο,Επτάνησος,http://hdl.handle.net/20.500.11853/280178,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A hand without a fist is useless. (Greek proverb)  or  A
32304,"Να με θυμηθής κ΄ εμέν αφέντη, να μου το θυμαϊ κουμπάρε, ειδέ μη το ξαστοχάω",Επτάνησος,http://hdl.handle.net/20.500.11853/174634,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Don't forget me and I won't forget you, lest I forget. ("
33319,"Ο θεός ορφανά κάνει, μα δύστυχα δεν κάνει (άμοιρα)",Επτάνησος,http://hdl.handle.net/20.500.11853/146395,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"God makes orphans, but doesn't make them wretched. (unhappy"
31860,"Λες και γιατί βρίσκονται σε κάθε τόπο και πεντ' έξη πομπεμέναις, πως ειν ούλαις άτιμαις ή λυσασμέναις!",Επτάνησος,http://hdl.handle.net/20.500.11853/255071,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Why do they say that they are in every place and in six processions,"
29263,Α δεν τσακίζει κόκκαλα δεν το 'χει πως ορίζει,Επτάνησος,http://hdl.handle.net/20.500.11853/207143,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"If you don't break bones, you won't know how it feels. or"
31614,Και το μυαλό σαν το νερό βράσι βράσι σύνεται,Επτάνησος,http://hdl.handle.net/20.500.11853/284549,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"The mind is like water, it wears away stone. (Greek proverb) <"
43962,"Όποιος περάση από λυγιά και δεν κόψη κλωνάρι, να μη χαρή την νιότη του και ας είναι και παλληκάρι",Επτάνησος,http://hdl.handle.net/20.500.11853/277223,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"Whoever passes through a narrow place and does not cut a branch, let him"
34527,Ποιος τα ξέρει τα καλά της παρ ή εγώ ή η αφεντιά της,Επτάνησος,http://hdl.handle.net/20.500.11853/289645,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Who knows the good of the mother-in-law better, I or the mother-in"
30135,Ακλουθόντας διάβαινε,Επτάνησος,http://hdl.handle.net/20.500.11853/145565,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The next one passes<|eot_id|>
35562,Τα παραπολλά ούθε κι' αν που κακά είναι,Επτάνησος,http://hdl.handle.net/20.500.11853/254853,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Evil communications corrupt good manners. (Proverbs 1:10,"
31946,"Λίγο εδώ και λίγο εκεί, ετα αδειάζει το πουγγί",Επτάνησος,http://hdl.handle.net/20.500.11853/145990,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"A little here and a little there, and the bucket is empty. (Greek"
31613,Και το μυαλό ποιος το 'δωσε,Επτάνησος,http://hdl.handle.net/20.500.11853/284548,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"And who gave the mind? 
(Translation of Greek proverb: ""Και"
32162,Να 'χη ένας για να χαίρεται όχι για να στερεύεται,Επτάνησος,http://hdl.handle.net/20.500.11853/174749,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Don't be a fool to be happy, but to be stuck. (Literal"
30310,"Αν η ζούρλια ήτανε ψώρα, θα να κόλλαε ούλ' η χώρα",Επτάνησος,http://hdl.handle.net/20.500.11853/284554,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"If the zourlia were a pound, it would weigh down the whole country"
30896,Αφσ΄ την την φιλιά του γυρεψούλι,Επτάνησος,http://hdl.handle.net/20.500.11853/175246,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Even from the kiss of a beggar<|eot_id|>
32465,"Να σου πέσ' η γλώσσα κάλλια, πάρα να μαντέψης γκιόνη",Επτάνησος,http://hdl.handle.net/20.500.11853/174721,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"May your tongue fall beautifully, rather than to guess a goni. (Translation"
43823,Ο Θεός να σε φυλάττη από νέον πραγματευτήν και από γραίαν πόρνην,Επτάνησος,http://hdl.handle.net/20.500.11853/255578,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,God protect you from a new businessman and an old prostitute. (Proverb:
31484,Και όποιος θε να σε κρεμάση ποιός το λε' μη θαν ο ετός σου κι όποιος θε να σε γλυτώση ποιός το λε' μη θαν ο χθρός σου,Επτάνησος,http://hdl.handle.net/20.500.11853/207226,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"He who wants to hang you, who says it? Not the rope of your"
32497,"Νά 'χαμ' ασκιά και γάϊδαρο και μούστο και βαγένι, Γκατακαϊμένη μάνξα μου, καβαλισμός που ήθελ' α γένη",Επτάνησος,http://hdl.handle.net/20.500.11853/174739,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Even if I had a donkey, a goat, a must and a wagon"
44264,Το ζευγάρι είναι διβάρι,Επτάνησος,http://hdl.handle.net/20.500.11853/163658,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,The couple is two-headed.  The couple is two-headed.  The couple
31398,"Ιδές μοναχός σου τι μπορείς, να κάμης ότι θέλεις",Επτάνησος,http://hdl.handle.net/20.500.11853/282179,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"See to yourself what you can do, do what you want<|eot"
43242,Από το ένα αυτί το βάνει και από τ' άλλο του το βγάνει,Επτάνησος,http://hdl.handle.net/20.500.11853/148393,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,He takes it from one ear and lets it out of the other. (He
33093,"Ο άνδρας μου στο μάγκανο, και 'γω στο πανηγύρι",Επτάνησος,http://hdl.handle.net/20.500.11853/146297,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"My husband is at the tavern, and I am at the fair."
31087,Θα βρης την πόρτα του σπητιού κι απέ να πης θε να μπω!,Επτάνησος,http://hdl.handle.net/20.500.11853/254973,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,You will find the cave's door and still ask me if you can enter!
35432,Τα λόγια είν' αγέρας κ' η κουλούρα χόρτασι!,Επτάνησος,http://hdl.handle.net/20.500.11853/207304,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Words are thorns and the thread cuts them. (A proverb that means words
30546,Από λόγον το λόγο,Επτάνησος,http://hdl.handle.net/20.500.11853/207624,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,From word to word. (Proverb) (English)  From word to
44366,"Τρεις Κεριώτες, δυο κουβέντες",Επτάνησος,http://hdl.handle.net/20.500.11853/271338,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"Three candles, two conversations. (Three candles are lit, but there is only"
30738,Αρνί που το φυλάει ο Θεός λύκος δεν το τρώει,Επτάνησος,http://hdl.handle.net/20.500.11853/174864,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"A goat that God is watching, a wolf will not eat it. (Pro"
35948,"Τί τα θές τ' αλλοιότικα, παρά για να ζουρλαίνεσαι",Επτάνησος,http://hdl.handle.net/20.500.11853/145460,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Don't bother with other things, just to make a fuss. (Greek proverb"
35266,"Τα γέλοια με τα κλάμματα, με τη χαρά κ' η πίκρα",Επτάνησος,http://hdl.handle.net/20.500.11853/173876,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Those who laugh with the bitter and the sweet. (A person who is happy
34226,Ονειρεύτηκ' η ακαμάτρα πως τση έκαηκε η λεκάνη,Επτάνησος,http://hdl.handle.net/20.500.11853/207875,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The daydreamer thought the bucket had been filled. (A daydreamer
43391,Εγλυκάθη η γραία στα σύκα κι' όλ' ημέρα τ' αναζητά,Επτάνησος,http://hdl.handle.net/20.500.11853/163416,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,The old woman was pleased with the figs and looked for them all day.
29136,"Α δε σε νοιώσει η γυναίκα, δε σε λογαριάζει γι άνδρα",Επτάνησος,http://hdl.handle.net/20.500.11853/174142,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A woman doesn't consider you a man if she doesn't feel you.
44090,"Πέντε αφράτα στο κατρίνι και δεν έχης το κατρίνι, στέκα τήραζε τ΄ αφράτα",Επτάνησος,http://hdl.handle.net/20.500.11853/163612,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"Five fat women on a cat and you don't have a cat, save the"
30601,"Από τα χτέ ως τα σήμερα, πάει ο άνδρας μου στο μύλο, πες μου το μπρε γειτόνησαις, να παντρευτώ ή να μείνω",Επτάνησος,http://hdl.handle.net/20.500.11853/146064,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"From the chitons to the present day, my husband goes to the mill"
30953,"Γυμνή η αλήθεια, ντρέπεται να βγή όξου",Επτάνησος,http://hdl.handle.net/20.500.11853/145471,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Naked truth is ashamed to come out.  (English proverb)  <
30328,"Αν κερδίσης στο παγνήδι, θα να χάσης τα μυαλά σου, και αν ει χάσης, θα να χάσης τα μυαλά και τον παρά σου",Επτάνησος,http://hdl.handle.net/20.500.11853/207529,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"If you win in the snow, you will lose your mind, and if you"
31692,"Καί του χρειαζόμενου ά δέ δίνης, κακά κάνεις, και του αχρείαστου άν του δώσης θέλεις κρέμασμα",Επτάνησος,http://hdl.handle.net/20.500.11853/173714,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"You give to the one who needs nothing, evil, and to the one who"
35388,Τα κέρατα όσο να ξεφυτρώσουν τσούζουνε,Επτάνησος,http://hdl.handle.net/20.500.11853/207286,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"The horns as they sprout, they rattle. (A horn is the"
32652,"Νειό παληό κρασί, δεν κάνει αντάμα!",Επτάνησος,http://hdl.handle.net/20.500.11853/274031,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Old wine is not good for mixing! (Translation: A small amount of old
29777,Άνω πάθος είναι ούλη μέρα ο άνδρας μες' στο σπίτι,Επτάνησος,http://hdl.handle.net/20.500.11853/145111,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A man's passion is a woman in the house.
32649,Νειό λάδι και παληό κρασί,Επτάνησος,http://hdl.handle.net/20.500.11853/275894,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A little oil and old wine<|eot_id|>
44394,Χέρι που δεν πάρη τόπος δεν αδειάζει,Επτάνησος,http://hdl.handle.net/20.500.11853/148387,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,A hand that does not take does not empty. (A hand that does not
29850,"Άς ακουστή συμπεθεριά,κι' ας πάη πίσω!",Επτάνησος,http://hdl.handle.net/20.500.11853/146455,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Let the neighbor's pain be heard, and let us go back! (Pro"
35681,Τά δόντια πάν να βρούν την όρεξι. Πά κ' όρεξι να βρή τα δόντια!,Επτάνησος,http://hdl.handle.net/20.500.11853/173937,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"All teeth are meant to find the appetite. If you have an appetite, find"
43406,"Είπε ο γάϊδαρος τον πετεινόν, ψωλάρα",Επτάνησος,http://hdl.handle.net/20.500.11853/274853,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"The donkey said to the birds, pluck the thistles.  ("
32204,Να γυρίζει τ' άσπρα κι ούλα αρτένονται,Επτάνησος,http://hdl.handle.net/20.500.11853/146093,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"When the whites turn, the wild boars are fed. (The whites are"
29933,Άψε σβύσαι,Επτάνησος,http://hdl.handle.net/20.500.11853/146709,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Don't extinguish the fire with your own hand. (don't do it
33052,"Ξύλο ροζασμένο, κακοπελεητο",Επτάνησος,http://hdl.handle.net/20.500.11853/289816,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A scratched wooden beam is beaten again. (English translation)<|eot_id
35616,Τα πρώτα μπόγηα του χωριού τα παιδιά του προεστού,Επτάνησος,http://hdl.handle.net/20.500.11853/207218,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The first fruits of the village are the children of the village elder. (The
29534,"Άγουρα δαμάσκηνα και πικριαίς ελιαίς, τα κρυφομουρμουρίσματα είναι κακαίς δουλιαίς",Επτάνησος,http://hdl.handle.net/20.500.11853/274013,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"Unripe grapes and bitter lemons, secret murmurs are bad servants<|"
33350,"Ο κάλπικος παράς, ποτέ δε χάνεται",Επτάνησος,http://hdl.handle.net/20.500.11853/207828,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The lost sheep is never lost. (The shepherd always finds it.)<|
30970,Δεν είναι μιανής λογής οι ατιμίαις,Επτάνησος,http://hdl.handle.net/20.500.11853/146621,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,It is not the same to be in debt<|eot_id|>
35215,Τα 'μαργαριτάρια μεσ' στην πείνα βρίσκονται,Επτάνησος,http://hdl.handle.net/20.500.11853/254825,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,The rich are found during famine<|eot_id|>
30562,Από μωρόν και μέθυσσον μαθαίς την πάσ' αλήθεια,Επτάνησος,http://hdl.handle.net/20.500.11853/145227,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,You learn all the truth from a drunkard and a child. (English translation
29635,Άλλο είν' ο στραβός κι άλλο είναι που δε βλέπει,Επτάνησος,http://hdl.handle.net/20.500.11853/145643,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,It is one thing to be wrong and another to be blind to it. (
32993,"Ξεπεσομένος άρχοντας, ποτέ μην πάρης δούλο",Επτάνησος,http://hdl.handle.net/20.500.11853/289769,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"A fallen lord, never take a slave<|eot_id|>"
31204,"Θε να πάη στον πόλεμο, για να κάμη πλιάτσικα",Επτάνησος,http://hdl.handle.net/20.500.11853/254996,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"To go to war, so as to make a profit. (Literally:"
43124,Άλλος χάσκει κι' άλλος μεταλαβαίνει,Επτάνησος,http://hdl.handle.net/20.500.11853/148277,"Κολλυβά – Χατζημιχάλη, Αγγελική",Επτάνησος,38.8351105,20.7094392,"Someone is crying and someone else is crying over the loss. (lit. """
29741,Άνδρας θωριακός και οι κώλοι τσερλισμένοι,Επτάνησος,http://hdl.handle.net/20.500.11853/145837,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,A man who is a bit crazy and his dogs are very excited. (lo
34935,"Πρώτη χαψά, καλή χαψά",Επτάνησος,http://hdl.handle.net/20.500.11853/255556,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,"First loss, good loss. (Translation: Learn from your mistakes) <|"
33845,"Όποιος κατηφρονάει το δούλο του, οχτρό έχει κι όχι δούλο",Επτάνησος,http://hdl.handle.net/20.500.11853/175114,"Καββαδίας, Γεώργιος",Επτάνησος,38.8351105,20.7094392,Whoever insults his slave will be enslaved by eight.
