,aa,lr,svm,knn,rf,text,gold,bert
65514,Thesprotia,Ήπειρος,Ιωάννινα,Ήπειρος,Εύβοια,"Βάρα, βωρέ Ντούγλη! Βάρα καί σύ!",Λέσβος,Σκύρος
116919,Evia,Λέσβος,Λέσβος,Εύβοια,Κύπρος,"Τονέ σφαλίζ' η πόρτα μου, σα γάϊδαρο τον έχω",Κρήτη,Κεφαλληνία
76489,Achaia,Μικρά Ασία,Αχαΐα,Ρόδος,Αρκαδία,Έχει καλό πουαρικό,Κάρπαθος,Αρκαδία
81037,Asia Minor,Αιτωλία,Μικρά Ασία,Αιτωλία,Αρκαδία,Ήταν απ΄τάγραφα,Μικρά Ασία,Ήπειρος
92693,Epirus,Ήπειρος,Ήπειρος,Μακεδονία,Κύπρος,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,Ήπειρος,Μακεδονία
57334,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Εν τζ' εν η άξισι του οφτου, αμμάν η παραπόνησί του",Κύπρος,Κύπρος
84550,Crete,Ανατολική Θράκη,Κεφαλληνία,Κεφαλληνία,Αιτωλία,Θα τον κάμω να γυρίσ' η σκούφια του γύρα,Λακωνία,Ανατολική Θράκη
66217,Achaia,Αχαΐα,Αχαΐα,Αχαΐα,Μικρά Ασία,"Κάθε πουλάκι, με τη λαλούλα του",Κεφαλληνία,Κεφαλληνία
39097,Arcadia,Μικρά Ασία,Αρκαδία,Θεσπρωτία,Θεσπρωτία,Κατά τη νύφη κι ο γαμπρός,Αρκαδία,Ανατολική Θράκη
37542,Thrace,Λακωνία,Λακωνία,Αμοργός,Ανατολική Θράκη,"Ως νάρτει η γνώση, φεύγει το γρόσι",Εύβοια,Λακωνία
70039,Evia,Αιτωλία,Πόντος,Λέσβος,Αιτωλία,Μ' έχ κι που μ' έχ',Αιτωλία,Ήπειρος
110157,Heptanese,Λέσβος,Επτάνησος,Λέσβος,Λέσβος,"Νέ παν' απ' τ' αμάξι, νέ κάτ' απ' τ' αμάξι",Ανατολική Θράκη,Ανατολική Θράκη
102442,Maced.,Μακεδονία,Θράκη,Μακεδονία,Θράκη,Τ' απίδ' κάτ' πε την απιδιά πέφτ',Θράκη,Ιωάννινα
64180,Ioannina,Κεφαλληνία,Ιωάννινα,Κεφαλληνία,Ιωάννινα,"Όσ' ο νους μου στο χωράφι, τόσα βόιδια να πομείνουν",Ήπειρος,Κεφαλληνία
4408,Rodos,Ρόδος,Ρόδος,Νάξος,Ρόδος,Έλα τάτα να σου δείξω που τόχει η μάνα,Ήπειρος,Κρήτη
39271,Achaia,Αρκαδία,Αρκαδία,Αχαΐα,Αρκαδία,Μας κάνει τον καμπόσο,Αρκαδία,Αχαΐα
10344,Thrace,Μακεδονία,Αχαΐα,Αχαΐα,Μακεδονία,Κρύψε μ' όταν δεν με θέλης γιά να μ' έχης όταν θέλης,Θράκη,Θεσπρωτία
75891,Amorgos,Κρήτη,Αμοργός,Κεφαλληνία,Ανατολική Θράκη,Κάθε θάμα τρείς ημέρες παράθαμα δέκα πέντε,Κάρπαθος,Θράκη
104055,Epirus,Αμοργός,Ήπειρος,Ανατολική Θράκη,Αμοργός,Πέτρα που κατρακυλά διμέλιο δεν πιάν',Μακεδονία,Ιωάννινα
101671,Lesvos,Θράκη,Θράκη,Θράκη,Αρκαδία,Ολούρμε να γίνει;,Σκύρος,Σκύρος
101048,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Έναι δα τσαί καρδιακλής,Σκύρος,Σκύρος
97841,Lesvos,Ήπειρος,Κεφαλληνία,Ανατολική Θράκη,Λέσβος,Τα Νικολοβάρβαρα κ' οι τοίχ' αποξυλώνουν,Εύβοια,Πόντος
52972,Thrace,Επτάνησος,Εύβοια,Αιτωλία,Αμοργός,"Του πονεί το δόντι του, για την δείνα",Αχαΐα,Κεφαλληνία
100678,Lesvos,Λέσβος,Λέσβος,Αμοργός,Κύπρος,Άλλ' νού παπά βατζέλιο,Σκύρος,Ιωάννινα
75602,Arcadia,Κάρπαθος,Κάρπαθος,Ρόδος,Κάρπαθος,"Δ)έσε κόμπον, μη χάσης οτρέαν",Κάρπαθος,Κάρπαθος
36729,Etolia,Λακωνία,Αρκαδία,Ανατολική Θράκη,Αιτωλία,Να μου τρουπάι τη μύτη,Αχαΐα,Λακωνία
1093,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Ο λαός κάμνει λαούδκια και το περτίκιν περτικούδκια,Κύπρος,Κύπρος
72320,Kefalinia,Σκύρος,Κεφαλληνία,Αρκαδία,Κεφαλληνία,Έγινε φέσι στο μεθύσι,Αχαΐα,Ανατολική Θράκη
76123,Karpathos,Λακωνία,Κάρπαθος,Λακωνία,Αρκαδία,"Ό,τι παθαίνει το κορμί τα φταίει το κεφάλι",Κάρπαθος,Θεσπρωτία
110083,Evia,Εύβοια,Εύβοια,Αρκαδία,Εύβοια,Μεις οι βλάχοι όπως λάχει,Ανατολική Θράκη,Εύβοια
118041,Evia,Εύβοια,Εύβοια,Μικρά Ασία,Θράκη,Κάμνει το μαύρο άσπρο,Θράκη,Θράκη
63447,Rodos,Κρήτη,Κρήτη,Αρκαδία,Κρήτη,Καθα είς τον πόρδαρό ντου μηλοκύδωνο τον έχει,Κρήτη,Κρήτη
99526,Achaia,Αμοργός,Αμοργός,Αχαΐα,Αμοργός,Το δώρο δεν δωρίζεται,Ιωάννινα,Αρκαδία
4294,Thesprotia,Θεσπρωτία,Θεσπρωτία,Κεφαλληνία,Κεφαλληνία,"Έχασα νύφεν και γαμπρό, τα δυο παιδιά μου έχω",Πόντος,Αμοργός
16748,Asia Minor,Ανατολική Θράκη,Μικρά Ασία,Εύβοια,Ρόδος,"Πότε πίττα με λαρδί, πότε πίττα μοναχή, πίτε και μητε καθόλου",Νάξος,Ιωάννινα
98960,East Thrace,Θράκη,Θράκη,Θράκη,Πόντος,Βούλγαρο αν καν΄ς φίλο βάσταγε καμμάτ΄ξύλο,Ιωάννινα,Ιωάννινα
46980,Etolia,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,Αυτός κι αυτή είν' εφτάψυχο γατσούλι,Αχαΐα,Αιτωλία
81064,Etolia,Αιτωλία,Λέσβος,Λέσβος,Αιτωλία,Καλή αντάμωσι στου Σκορδά του χάν',Μικρά Ασία,Αιτωλία
114832,Maced.,Κεφαλληνία,Ήπειρος,Κεφαλληνία,Αρκαδία,Το μεγάλο το καράβι μεγάλα κίνδυνα,Μακεδονία,Κεφαλληνία
69596,Maced.,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,Η πλάλα τς γάτας απ' του σπίτ ως τν αχυρώνα,Αιτωλία,Ιωάννινα
110124,Thrace,Κεφαλληνία,Ανατολική Θράκη,Θράκη,Ανατολική Θράκη,"Μπήκ' ο Δεύτερος, πάγ' ο βδόμαδος",Ανατολική Θράκη,Ανατολική Θράκη
110030,Asia Minor,Μικρά Ασία,Μικρά Ασία,Μακεδονία,Ανατολική Θράκη,"Μαζευθήτε γνωστικοί, να φάτε του τρελλού τον βιό",Ανατολική Θράκη,Μικρά Ασία
71644,Etolia,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,"Τουν έλατου απ' πάν' αρχινάν κι' τουν καθαρίζνι, όχ' απ' κάτ' για να μπουρούν να κατίβνι ύστερα",Αιτωλία,Ιωάννινα
101523,Crete,Σκύρος,Κρήτη,Λέσβος,Σκύρος,"Ο Βασίλης με τα λόγια, χτίζ' ανώγια τσαι κατώγια",Σκύρος,Σκύρος
64543,Evia,Μακεδονία,Μακεδονία,Μακεδονία,Αρκαδία,Σαρίδικο ινάτι,Μικρά Ασία,Εύβοια
64237,Naxos,Νάξος,Νάξος,Νάξος,Νάξος,Ότι τα σκατά κι ότι το φκυάρι,Μικρά Ασία,Κάρπαθος
97842,East Thrace,Λακωνία,Λακωνία,Λακωνία,Λακωνία,Τα ξένα πένει τα και μη τα περπατής,Εύβοια,Πόντος
61352,Maced.,Λέσβος,Λέσβος,Λέσβος,Λέσβος,"Τέτοιου τσιφάλ', τέτοια θέλ'",Λέσβος,Λέσβος
70283,Etolia,Κεφαλληνία,Κεφαλληνία,Λέσβος,Λέσβος,Νιά φουτιά καίνε νιά ζουή,Αιτωλία,Λέσβος
89398,Maced.,Λέσβος,Μακεδονία,Θεσπρωτία,Λέσβος,Του κόλλησε ρετσινιά,Λακωνία,Ανατολική Θράκη
37530,Evia,Εύβοια,Εύβοια,Ανατολική Θράκη,Ανατολική Θράκη,"Πες μου πώς σε δείρανε, να βρω πόσες έφαγες",Εύβοια,Εύβοια
16873,Naxos,Νάξος,Νάξος,Κρήτη,Νάξος,Πρώτα θωρείς το 'είτονα σου κι 'απέκειο το Θεό,Νάξος,Νάξος
17428,Naxos,Λακωνία,Νάξος,Νάξος,Νάξος,Χίλια λόια έναν άσπρο,Νάξος,Νάξος
115407,Arcadia,Επτάνησος,Αρκαδία,Αχαΐα,Ρόδος,"Μια φορά ήμαν άγγελος, τώρ' αγγελίζουν άλλοι στη βρύση που 'πινα νερό τώρα το πίνουν άλλοι",Εύβοια,Κεφαλληνία
426,Karpathos,Αρκαδία,Αρκαδία,Ρόδος,Λακωνία,Κι αλεστικό μη πάρετε,Εύβοια,Ανατολική Θράκη
9062,Crete,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Να το ιδής με τα μάτια σ' και πάλι να μη το πιστέψης,Μακεδονία,Ανατολική Θράκη
66628,Crete,Επτάνησος,Κρήτη,Κρήτη,Πόντος,"Μην το περηφανεύεσαι και μην το κάνης νάζι, γιατ' ο Θεός την ομορφιά σαν άνθος την τινάζει",Κεφαλληνία,Επτάνησος
86041,Achaia,Αιτωλία,Αχαΐα,Λέσβος,Αιτωλία,Να σου πη ο διάκος στ' αυτί κι η κουρούνα στο μυαλό,Λακωνία,Αρκαδία
882,Evia,Λέσβος,Λέσβος,Λέσβος,Λέσβος,Πλάκουσι μια μπατόλια πά 'ς τ' αυτιά μ',Λέσβος,Λέσβος
19974,Kefalinia,Ήπειρος,Σκύρος,Θεσπρωτία,Μικρά Ασία,Άις Νικόλας θ΄ασπρίση τα γενάκια του,Αμοργός,Αχαΐα
2091,Karpathos,Κύπρος,Πόντος,Πόντος,Κρήτη,Ηλιομάραντον μοιάζει,Πόντος,Αμοργός
50086,Epirus,Αρκαδία,Θράκη,Επτάνησος,Λέσβος,Ο άνθρωπος δε χορταίνει με λόγια,Αχαΐα,Ανατολική Θράκη
98916,Epirus,Επτάνησος,Ήπειρος,Θράκη,Επτάνησος,Αυτά τα λέν' εκεί που βροντάει ο μύλος,Ιωάννινα,Μικρά Ασία
71756,Lesvos,Σκύρος,Σκύρος,Λακωνία,Σκύρος,"Φούντα πήις συ, γύρζα γω",Αιτωλία,Αιτωλία
82549,Thesprotia,Θεσπρωτία,Θεσπρωτία,Λακωνία,Θεσπρωτία,Βρήκε το μύλο χάρβαλο και το νερό κομμένο,Λακωνία,Αρκαδία
113202,Kefalinia,Θεσπρωτία,Κεφαλληνία,Αμοργός,Σκύρος,"Μην κρύβεσαι πίσω από το δάχτυλο, γιατί φαίνεσαι αλάκερος",Αρκαδία,Αχαΐα
17370,Naxos,Νάξος,Νάξος,Θεσπρωτία,Νάξος,Τση νύχτας τα καμώματα τα θωρεί (ή τα βλέπ') η μέρα και 'ελά,Νάξος,Νάξος
27978,Kefalinia,Μικρά Ασία,Κεφαλληνία,Κεφαλληνία,Αρκαδία,Σαν βασιλιάς μου κάθεσαι,Θεσπρωτία,Ανατολική Θράκη
6061,Amorgos,Εύβοια,Εύβοια,Κρήτη,Κρήτη,Σ τση δεκοχτώ 'ς τση δεκαννιά σαν 'δης και δεν κανιάσης κάτεχε κακορρίζικο της μάννας σου θα 'μοιάσης,Κρήτη,Κρήτη
75041,Laconia,Αρκαδία,Αρκαδία,Αρκαδία,Λακωνία,Το κακό με το σακκί μπένει και με το βελόνι βγαίνει,Ήπειρος,Λακωνία
109579,Asia Minor,Αμοργός,Πόντος,Κεφαλληνία,Αμοργός,"Δεν πουλεί, μον αγοράζει",Ανατολική Θράκη,Κάρπαθος
18334,Asia Minor,Ιωάννινα,Μακεδονία,Μικρά Ασία,Ιωάννινα,Όσο στέκεται τ' αλογιού η ουρά,Θράκη,Λακωνία
116648,Amorgos,Αμοργός,Κρήτη,Αμοργός,Ρόδος,"Μουδέ μιλεί, μουδέ λαλεί, μουδέ την οράν του σει",Κρήτη,Ρόδος
18673,Crete,Κρήτη,Κρήτη,Σκύρος,Ανατολική Θράκη,"Αργάτη κάνεις, αργά τονέ τρως",Κρήτη,Κρήτη
100773,Laconia,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Αξίζ' όσο βαρζεί,Σκύρος,Ήπειρος
101101,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Έχατσε τ' αυγά τσαί τα καλάθια,Σκύρος,Σκύρος
92205,Evia,Επτάνησος,Νάξος,Επτάνησος,Επτάνησος,"Ο Θεός να φυλάη, απου τα πρωτοβρέξα",Νάξος,Κρήτη
20068,Thesprotia,Κάρπαθος,Κάρπαθος,Κάρπαθος,Κεφαλληνία,"Άμε να πας να ξης κοιλιές, να κάνης μαχραμάδες",Αμοργός,Κεφαλληνία
91251,Epirus,Λέσβος,Ήπειρος,Αιτωλία,Λέσβος,Όποιους δεν έχ' γνώσ' στου κιφάλ' ν' εχ' στα πουδάρια,Ιωάννινα,Ιωάννινα
76789,Heptanese,Κρήτη,Κεφαλληνία,Κρήτη,Κρήτη,Είπαν τση γριάς να κλάνη μα να μην το παρακάνη,Κεφαλληνία,Θεσπρωτία
77074,Skyros,Νάξος,Νάξος,Σκύρος,Νάξος,Γίναν οι γάστρες θυμιατό και το σκατό λιβάνι,Κεφαλληνία,Κεφαλληνία
27960,Heptanese,Θράκη,Θράκη,Θράκη,Κύπρος,"Πριν να σκεφθή ο νούς, η γλώσσα να μην τρέχη",Θεσπρωτία,Αμοργός
18040,Thrace,Σκύρος,Θράκη,Αρκαδία,Σκύρος,"Βούρτσα – βούρτσα κόπανος, κι βούρτσα κουπανίδα",Θράκη,Θράκη
54707,Amorgos,Ανατολική Θράκη,Ανατολική Θράκη,Θεσπρωτία,Ανατολική Θράκη,Το καλό τ' αρνί βυζαίνει δυο μανάδες,Αρκαδία,Κεφαλληνία
79219,Evia,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Μηγ γελάσης τσαι 'ελαστής, μηκ καταϊκάσης τσαι καταϊκαστής",Κάρπαθος,Κάρπαθος
91117,Maced.,Λέσβος,Λέσβος,Λέσβος,Αιτωλία,Λιρουμένα μάγ'λα κ' λιά χουρτάτ',Ιωάννινα,Ιωάννινα
110528,Epirus,Ήπειρος,Ήπειρος,Ιωάννινα,Ήπειρος,Σα μυρμήγκι,Ανατολική Θράκη,Ανατολική Θράκη
100820,Evia,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Αρωτουν τσαί τον Οβρζό, πότε κάνει Χ'στος ανέστη",Σκύρος,Σκύρος
650,Lesvos,Ανατολική Θράκη,Λέσβος,Αχαΐα,Μικρά Ασία,"Άπ' την αστιβία, δε κάνιν κατάρτ'",Λέσβος,Ιωάννινα
41938,Thrace,Θράκη,Θράκη,Ανατολική Θράκη,Θράκη,Πέσε πήτα να σε φάγω,Ιωάννινα,Θράκη
38983,Laconia,Επτάνησος,Αμοργός,Αχαΐα,Αρκαδία,Κάνει η κουρούνα θαύματα να φύγουν τα δαιμόνια,Αρκαδία,Λακωνία
109481,Crete,Επτάνησος,Κρήτη,Αμοργός,Αμοργός,"Βόθσε τον εαύτο σου, να σε βοηθήσ' ο Θεός",Ανατολική Θράκη,Ανατολική Θράκη
73589,Naxos,Νάξος,Λακωνία,Νάξος,Λακωνία,Ο ένας κερνά και ο άλλος πίνει,Θράκη,Αχαΐα
75476,Kefalinia,Λακωνία,Λακωνία,Λακωνία,Ιωάννινα,Από Θεό κι απ' αφεντιάν,Κάρπαθος,Μακεδονία
75994,Crete,Κάρπαθος,Κάρπαθος,Κάρπαθος,Κάρπαθος,Μακρύς μακρύς καλό(γ)ερος και κούφια η κεφαλή του,Κάρπαθος,Ρόδος
7729,Evia,Αιτωλία,Αιτωλία,Ιωάννινα,Αιτωλία,Του ήμερου τ' αρνί βζάν' δυο μανάδες κι τ΄άγριου ούτι τθκίτ,Ήπειρος,Ιωάννινα
100870,Rodos,Ανατολική Θράκη,Σκύρος,Εύβοια,Ανατολική Θράκη,"Βόθα με, να σε βοθώ, - ν' ανέβουμε το βουνό",Σκύρος,Ρόδος
75679,Laconia,Ρόδος,Ρόδος,Ρόδος,Ρόδος,Έχει κακά σσωθθικά,Κάρπαθος,Μικρά Ασία
13165,Asia Minor,Αμοργός,Αμοργός,Κύπρος,Αμοργός,Σκαμνιού ποδάριν έσπασεν καινούργιον εις τον τόπον του,Ρόδος,Μικρά Ασία
30054,Naxos,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,"Αγκόπαιτονε πρώτα, κι' απέ πνίξ' τονε",Επτάνησος,Επτάνησος
56605,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Αχτυπούν του παπά με τα πρόσφορα, τζαι λαλεί, Θεέ μου, τζαι 'ξόρισ' την ορκήσ σου",Κύπρος,Κύπρος
61684,Achaia,Ήπειρος,Ήπειρος,Ήπειρος,Ήπειρος,Παστρικός σαν της κόττας τα πόδια,Αρκαδία,Λακωνία
97765,Arcadia,Αρκαδία,Αρκαδία,Αρκαδία,Πόντος,"Κούρεφτον κασίδη, πάρτ' το μαλλί του",Εύβοια,Μακεδονία
41936,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Αμοργός,Πόντος,Πέρσ' εκάηκε και φέτω μύρισε,Ιωάννινα,Ήπειρος
103825,Crete,Κρήτη,Αμοργός,Επτάνησος,Αμοργός,Του καλού αντρούς γυναίκα τον Απριλομά χηρεύγει,Μικρά Ασία,Κάρπαθος
13231,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Θεσπρωτία,Τα ΄θυμάται κάττης τάφαε,Ρόδος,Επτάνησος
10130,Ioannina,Ιωάννινα,Λέσβος,Εύβοια,Ιωάννινα,Ο κόσμους τό χει τύμπανου κ' μεις κρυφό καμάρ,Εύβοια,Ιωάννινα
31664,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,"Και τση μάννας μας το γάλα, ως κ' εκείνο, η γης θαν του το δώση!",Επτάνησος,Επτάνησος
41884,Achaia,Νάξος,Νάξος,Λακωνία,Λακωνία,Όσο πάνει ανεβαίνει το προζύμι,Ιωάννινα,Ιωάννινα
99251,Kefalinia,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,"Μπάτε, σκύλ', αλέστε κι αλεστικό μη δίνετε",Ιωάννινα,Ιωάννινα
13354,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Κάρπαθος,"Το(ν) Μα κατέβα στο γιαλό, να φας του σκάρου το αυγό",Ρόδος,Ρόδος
96915,Crete,Θράκη,Θράκη,Θράκη,Θράκη,Η ζούλια βγήκε πε τ' αδέρφια,Θράκη,Θράκη
96179,Pontos,Πόντος,Πόντος,Θράκη,Πόντος,Το γλυκόν η γλώσσα εβγάλλει τ' οφίδιν ας σο τρυπίν,Πόντος,Πόντος
116796,Laconia,Λακωνία,Λακωνία,Λακωνία,Αιτωλία,Πότε 'πρόκοψ' η κερά μας; Τ' άγιου Λαζάρου το σπερνό,Κρήτη,Ρόδος
35096,Kefalinia,Επτάνησος,Επτάνησος,Επτάνησος,Θράκη,Τ' ακούει ο αφέντης το καλό και τόνε πιάν' η ζάλη,Επτάνησος,Επτάνησος
111956,Achaia,Ήπειρος,Αχαΐα,Θράκη,Λακωνία,Κάλλια κακοπανδρεμένη ή κακοκουβεντιασμένη,Ήπειρος,Ήπειρος
72231,Evia,Εύβοια,Εύβοια,Θεσπρωτία,Νάξος,"Να φοβάσαι 'πο όψι χειμώνα, 'πο πρώϊμο οικοκύρη κι από καινούριο αφεντικό",Θράκη,Εύβοια
23033,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Ρόδος,"Και που σου πήρενε τα μυαλά, να πάρη και τον ίδιο",Αμοργός,Νάξος
44185,Naxos,Επτάνησος,Επτάνησος,Κάρπαθος,Αιτωλία,Τ' άρματα σου και εις του κάπου,Επτάνησος,Ρόδος
61185,Crete,Κρήτη,Κρήτη,Κρήτη,Νάξος,Ο κακός λόγος του νοικοκυρού πομένει,Ρόδος,Ρόδος
70807,Lesvos,Λέσβος,Λέσβος,Λέσβος,Αιτωλία,"Που μη πουνεί, που μι σφάζ'!",Αιτωλία,Θράκη
945,Maced.,Λέσβος,Λέσβος,Πόντος,Λέσβος,"Της μαλάκας ο τσιγάρους γίνεται χονδρός, μιγάλους",Λέσβος,Κρήτη
55085,Evia,Κύπρος,Ρόδος,Κεφαλληνία,Λακωνία,Κάλλιο μιαν ώρα πετεινός παρά τρακόσιαις όρθα,Κρήτη,Ιωάννινα
4552,Rodos,Κύπρος,Κύπρος,Ρόδος,Κύπρος,Σάν να του πνΐκαν τά καράβια,Ήπειρος,Ιωάννινα
91153,Etolia,Λέσβος,Αιτωλία,Αιτωλία,Αιτωλία,"Μη μ' λες παπά σπασμένι, να μη σ' πω ξεκοιλιασμένι",Ιωάννινα,Σκύρος
76472,Kefalinia,Αμοργός,Αμοργός,Αμοργός,Αμοργός,Δεν κρατεί τα θαφτικά του,Κάρπαθος,Αμοργός
67723,Lesvos,Λέσβος,Λέσβος,Λέσβος,Σκύρος,Σκαλίζ'ς τσ' αχλιές μέσ' στα μάκια σ' παγαίνουν,Λέσβος,Σκύρος
18640,Rodos,Επτάνησος,Θράκη,Ανατολική Θράκη,Επτάνησος,"Άσπρη ρασέ, μαύρη ρασέ, δεν είν' το πάπλωμα για σέ",Κρήτη,Κεφαλληνία
91636,Maced.,Ιωάννινα,Ιωάννινα,Λέσβος,Ιωάννινα,Τού ινάτ' βγάζ' μάτ',Ιωάννινα,Ιωάννινα
79349,Laconia,Σκύρος,Σκύρος,Κύπρος,Σκύρος,"Τα 'χ' ο κλέφτης εις τον νουτ του, τα θωρεί τσ' εις τ' όνειρότ του",Κάρπαθος,Κάρπαθος
90742,Ioannina,Ιωάννινα,Ιωάννινα,Ιωάννινα,Ιωάννινα,Βρήκ' η στραβή τ' αρνί τ'ς κ' η γκαλιώρα του θ' κό τ'ς,Ιωάννινα,Ιωάννινα
74483,Achaia,Θεσπρωτία,Θεσπρωτία,Αχαΐα,Θράκη,Έπιασε η γάτα το ποντίκι,Ήπειρος,Θεσπρωτία
100757,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Αμαρτωλός έφα'ε τσαί ρζίγατσε, δίτσαιος έφα'ε τσ ευφράνθη!",Σκύρος,Σκύρος
8850,Maced.,Μακεδονία,Μακεδονία,Μακεδονία,Μακεδονία,"Βρώμκα ψάρια, καλά παζάρια",Μακεδονία,Μακεδονία
118158,Epirus,Πόντος,Πόντος,Ήπειρος,Πόντος,"Ο Θεος άλλον έπλασε, κι άλλον έκλασε",Θράκη,Ανατολική Θράκη
115328,Skyros,Σκύρος,Σκύρος,Ανατολική Θράκη,Σκύρος,Άλλα 'ν' τα μάτια του λαγού τσ' άλλα της κουκουβάγιας,Εύβοια,Εύβοια
24289,Maced.,Κεφαλληνία,Μακεδονία,Νάξος,Ρόδος,Ο Θεός ήθελε να χαλάση δυο σπίτια και χάλασεν ένα,Αμοργός,Κεφαλληνία
58535,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Όπκοιος βουρά πολλά κόβκει σαν τον γάδαρον,Κύπρος,Κύπρος
17453,Naxos,Νάξος,Νάξος,Επτάνησος,Λακωνία,Ώσπου νανεβοκατέβη το σπαθί...,Νάξος,Νάξος
100912,Etolia,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Γιά μάννα! Τό παπούτσ' του, σάν Ελλην' κό μνημόρζο έναι!",Σκύρος,Σκύρος
114262,Cyprus,Αμοργός,Κύπρος,Κύπρος,Αμοργός,Κόφτει την κρίσιν με τον μπαλτάν,Μακεδονία,Κύπρος
105404,East Thrace,Μικρά Ασία,Μικρά Ασία,Ήπειρος,Αρκαδία,Δόξαπατρί,Αρκαδία,Αιτωλία
2099,Maced.,Μακεδονία,Μακεδονία,Μακεδονία,Μικρά Ασία,Απού φασούλι φασούλι γιουμίζει του σακκούλι,Μακεδονία,Ιωάννινα
104861,Naxos,Πόντος,Πόντος,Πόντος,Πόντος,Ο κόσμος εθρηνίζουνταν κι οι κούρβες εστολίζουνταν,Ήπειρος,Ρόδος
83754,East Thrace,Λακωνία,Λακωνία,Αρκαδία,Νάξος,Είδες ένα; Τόσο φθάνει. Μιά κλωστή τούς έχει 'φάνει,Λακωνία,Αχαΐα
12758,Rodos,Κάρπαθος,Κάρπαθος,Νάξος,Κάρπαθος,Ο λό(γ)ος σου με χόρτασε και το ψωμί σου φα' το,Ρόδος,Κάρπαθος
13167,Crete,Κρήτη,Ρόδος,Ρόδος,Ρόδος,Σκότωνε λωλούς πλέρωνε ντζερεμέ,Ρόδος,Εύβοια
78819,Amorgos,Αμοργός,Αμοργός,Κρήτη,Ήπειρος,Κατά τα έργα του,Μικρά Ασία,Αμοργός
41713,Achaia,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,Κάνει το γουνί βελονια,Ιωάννινα,Θράκη
53518,Crete,Κρήτη,Κρήτη,Κρήτη,Αμοργός,Το Μάρτι ξύλα μάζωνε κι' άχυρα του βουγιά σου κι' αν έχεις πράμα τίβοτις φύλα το των παιδιώ σου,Κρήτη,Κρήτη
83441,Evia,Μακεδονία,Μακεδονία,Λακωνία,Αρκαδία,Έξω γλέντι μέσα φαρμακίλες,Λακωνία,Λακωνία
16761,Rodos,Επτάνησος,Λέσβος,Επτάνησος,Αχαΐα,Ποιός είδεν ένα να κρίνη δυό;,Νάξος,Αμοργός
114227,Arcadia,Ήπειρος,Κάρπαθος,Μικρά Ασία,Ανατολική Θράκη,"Καιρός πανιά, καιρός κουπιά, καιρός για το τιμόνι",Μακεδονία,Αρκαδία
71921,Heptanese,Κρήτη,Κρήτη,Κρήτη,Κρήτη,Μια ζωή τη κρυμμένη καλλιά ξεμπερδεμένη,Κρήτη,Ήπειρος
15270,Ioannina,Ιωάννινα,Ιωάννινα,Εύβοια,Μακεδονία,Έχουν οι φύλακες τη γνώση,Νάξος,Κεφαλληνία
76842,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Εύβοια,Σκύρος,Κάτσε ντρίττα και κρίνε στραβά,Κεφαλληνία,Θεσπρωτία
71665,Etolia,Αιτωλία,Μακεδονία,Μικρά Ασία,Αιτωλία,Τουν παίδιψαν ουβρέϊκα,Αιτωλία,Αιτωλία
77619,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,"Εκατεθάρρεσαμ' σον Θον έμουν, κι ο Θοε έμουν πα επιδέβε μας",Πόντος,Πόντος
63761,Crete,Κρήτη,Κρήτη,Κρήτη,Κρήτη,"Μόνο τα τρία πράματα δεν κάνουνε στο σπίτι δυο πετεινοί, δυο κούνελοι κι η πεθερά κι η νύφη",Κρήτη,Κρήτη
17009,Evia,Νάξος,Νάξος,Νάξος,Θράκη,Στο Θεό μ' ανέβασες,Νάξος,Σκύρος
70908,Maced.,Μακεδονία,Μακεδονία,Σκύρος,Αιτωλία,Σαν βριμέν' γάτα περπατεί,Αιτωλία,Ιωάννινα
91943,Amorgos,Λακωνία,Ήπειρος,Αμοργός,Λακωνία,Ομπρός βαθύ καί πίσω ρέμα,Θράκη,Ήπειρος
